-4500,-4400,0
-4100,-3000,0
-1800,-2400,0
-2500,-3400,0
-2000,-1400,0
4500,-4400,1
4100,-3000,1
1800,-2400,1
2500,-3400,1
2000,-1400,1
-4500,4400,2
-4100,3000,2
-1800,2400,2
-2500,3400,2
-2000,1400,2
4500,4400,3
4100,3000,3
1800,2400,3
2500,3400,3
2000,1400,3
-1745,3017,2
-1925,-246,0
-3503,3828,2
-3188,862,2
220,4368,3
-3711,4321,2
-4930,2161,2
-4608,278,2
-1438,3601,2
-1356,1549,2
-4416,1258,2
-3226,528,2
-4496,4742,2
114,178,0
-1625,49,0
-3920,547,2
-4034,292,2
-280,159,0
-646,1532,2
-4275,1584,2
413,2850,3
-3047,777,2
-3041,1464,2
-3332,-379,2
-4345,4786,2
-4226,1400,2
-3349,1089,2
-1303,774,2
25,3984,3
-4674,2240,2
-2300,2953,2
-3403,4351,2
-4104,4303,2
-920,-340,0
-2795,2399,2
-2962,4815,2
-2126,1742,2
-2835,2050,2
-2165,4353,2
-3466,4945,2
-2782,2908,2
-17,1926,2
-383,3668,3
-4222,967,2
-2148,1916,2
-2779,4494,2
-3387,2508,2
362,1640,2
-1810,3607,2
-4425,-347,2
-919,-483,0
-219,2011,2
-1366,2921,2
-4932,3192,2
289,2173,2
-3041,3227,2
-580,4516,3
-2152,3389,2
-3916,4952,2
-1479,787,2
-4167,4896,2
-3944,2047,2
-854,3212,2
-4558,1997,2
-137,3308,3
-3812,457,2
286,1322,2
-2827,3215,2
-3452,4808,2
-1457,782,2
-4342,216,2
-4295,2527,2
-8,2372,2
-3714,3591,2
-1257,4701,2
-4952,670,2
-1054,1701,2
-1892,280,0
-1612,2439,2
-3250,188,2
-4158,383,2
-2761,3096,2
-3884,3973,2
-3348,1773,2
-3226,996,2
-1952,446,0
-2599,3587,2
-2471,1400,2
-1628,312,0
-2921,2633,2
-4046,-66,2
-4145,1331,2
130,69,0
-2120,4310,2
-2321,770,0
-1031,2761,2
-3491,3847,2
-1951,4027,2
-4293,2113,2
279,838,0
263,2855,3
139,-194,0
-1034,1298,2
-3003,23,2
-786,4268,3
153,3343,3
-4574,2394,2
-2270,-436,0
228,957,2
2,3708,3
-246,1707,2
-3388,3570,2
-4300,4416,2
-4997,4871,2
-506,3441,3
-387,3395,3
-3252,4852,2
-1521,3363,2
-2563,1525,2
-620,-442,0
-3157,2303,2
463,859,2
222,2010,2
-1264,1526,2
-1748,-211,0
-766,1804,2
105,4634,3
-564,190,0
-1933,1952,2
-3267,82,2
