-4500,4400,0
-4100,3000,0
-1800,2400,0
-2500,3400,0
-2000,1400,0
4500,4400,1
4100,3000,1
1800,2400,1
2500,3400,1
2000,1400,1
-4500,-4400,2
-4100,-3000,2
-1800,-2400,2
-2500,-3400,2
-2000,-1400,2
4500,-4400,3
4100,-3000,3
1800,-2400,3
2500,-3400,3
2000,-1400,3
3713,3418,1
3834,-2898,3
3093,-4530,3
-2715,-4790,2
4849,-3611,3
-468,-1825,2
-4266,4306,0
3669,4971,1
-1809,-3209,2
898,-407,3
1340,1127,1
-2477,-2071,2
-1976,1416,0
565,-2060,3
4842,1498,1
4755,-842,3
3339,-2401,3
-3183,-3393,2
896,2696,1
13,-4765,3
-4603,1059,0
3684,3696,1
4681,748,1
-96,1080,0
-1760,2050,0
4991,1234,1
-2987,-2832,2
-3661,4225,0
-4513,-4768,2
-1492,1383,0
-1201,3453,0
2703,4395,1
-2296,1450,0
2199,-2665,3
4468,4884,1
-3167,2408,0
2520,-1928,3
4417,298,1
-150,1316,0
3305,-1820,3
-487,-2689,2
-1270,-3145,2
-2127,4074,0
4879,-1015,3
-3502,-4901,2
-1719,2306,0
-4657,1110,0
-203,-2280,2
1643,-1351,3
-948,3799,0
-4618,4764,0
942,3899,1
-2499,-4694,2
-193,1996,0
1056,1896,1
2831,-4115,3
3346,2348,1
2602,2486,1
-3379,3323,0
704,-1842,3
-899,-4172,2
494,-1363,3
2540,-2693,3
264,-3889,3
-2749,-2314,2
4998,-725,3
-1374,-3505,2
-4953,1270,0
4937,2317,1
-1765,357,0
3110,1282,1
3487,-397,3
-1919,-3465,2
-102,2470,0
3747,-2801,3
-3188,3288,0
3009,4198,1
-3299,-3914,2
1218,2563,1
4016,2386,1
-665,3381,0
-819,529,0
4678,4609,1
-4125,517,0
2691,-4731,3
-3675,2764,0
3754,-3435,3
-4564,-1659,2
291,-4637,3
-1035,-4864,2
-4347,2604,0
2575,1210,1
-228,-141,2
-2840,-2827,2
2164,-1903,3
3296,-4873,3
3967,2156,1
-3615,2002,0
2363,-1732,3
-1931,-3158,2
-4442,-4730,2
-328,-1612,2
1151,3045,1
-1399,2473,0
3519,-4433,3
-1844,-762,2
-3844,1671,0
1439,1533,1
4493,4423,1
-1823,-408,2
-3630,209,0
4810,-955,3
-1269,-2531,2
-952,-1366,2
-4604,545,0
-1426,-1231,2
3381,2475,1
-3147,-3628,2
4046,-172,3
3212,-3638,3
-1721,-2279,2
-4157,-2241,2
-3157,113,0
1885,3766,1
-2100,-3371,2
